round,accuracy
1,0.7385041551246537
2,0.7637665198237885
3,0.748898678414097
4,0.7807840971838763
5,0.8144273127753304
6,0.8108407079646017
7,0.8177312775330396
8,0.8133627829928216
9,0.8093126385809313
10,0.8142857142857143
11,0.8105555555555556
12,0.8181818181818182
13,0.8186843559977889
14,0.8188325991189427
15,0.8208955223880597
16,0.8197353914002206
17,0.8153676064123825
18,0.8265418502202643
19,0.8302929795467109
20,0.8220011055831952
21,0.8347153123272526
22,0.8240485383342526
23,0.8320484581497798
24,0.8158624514697727
25,0.8213495575221239
26,0.8357300884955752
27,0.8296582138919515
28,0.8181818181818182
29,0.823237885462555
30,0.8148760330578513
31,0.8237885462555066
32,0.8098669623059866
33,0.8197353914002206
34,0.7988888888888889
35,0.8197353914002206
36,0.8209366391184573
37,0.8220994475138121
38,0.8080976150859678
39,0.8307522123893806
40,0.8202995008319468
41,0.8304709141274238
42,0.8281938325991189
43,0.8120508568269762
44,0.8137362637362637
45,0.8061111111111111
46,0.8170731707317073
47,0.815410199556541
48,0.8159779614325069
49,0.8225538971807629
50,0.8127423822714681
51,0.8116343490304709
52,0.8111233480176211
53,0.8067366096079515
54,0.810989010989011
55,0.8061844284925456
56,0.8099722991689751
57,0.8218040951853901
58,0.8054173576561636
59,0.8126373626373626
60,0.8154269972451791
61,0.8218040951853901
62,0.8087583148558758
63,0.8050800662617339
64,0.8120508568269762
65,0.8226519337016575
66,0.8104683195592286
67,0.8148148148148148
68,0.8009977827050998
69,0.8165745856353591
70,0.8184836745987825
71,0.809366391184573
72,0.8111964873765093
73,0.806060606060606
74,0.8186356073211315
75,0.8104683195592286
76,0.8025372311086597
77,0.7976718403547672
78,0.8008825151682295
79,0.7966666666666666
80,0.8055096418732782
81,0.8173768677365799
82,0.8152654867256637
83,0.8136061946902655
84,0.8092613009922822
85,0.8127423822714681
86,0.8025372311086597
87,0.8021064301552107
88,0.7976782752902156
89,0.8100220264317181
90,0.7997781475318912
91,0.8053244592346089
92,0.8073545554335895
93,0.7960088691796009
94,0.8049861495844876
95,0.8101826231322634
96,0.8001104362230812
97,0.8087341072415699
98,0.8101826231322634
99,0.804851157662624
100,0.7910447761194029
